district,name,total_population,white_vap_pct,black_vap_pct,hispanic_vap_pct,native_vap_pct,asian_vap_pct,pacific_vap_pct,multiracial_vap_pct
1,District 1,53068,26.07,38.58,31.71,0.36,0.27,0.01,0.28
2,District 2,64520,72.45,9.06,14.4,0.07,0.97,0.29,0.24
3,District 3,53526,84.86,8.27,3.6,0.07,1.15,0.01,0.07
4,District 4,64958,6.07,88.2,2.52,0.11,0.12,0.05,1.09
5,District 5,69713,14.83,80.44,1.11,0.25,0.85,0.08,0.73
6,District 6,72682,84.8,6.13,3.64,0.07,2.86,0.0,0.44
7,District 7,58683,26.18,59.52,0.95,0.47,9.58,0.03,0.58
8,District 8,69685,29.32,65.23,1.98,0.07,1.11,0.01,0.41
9,District 9,73561,24.19,68.12,2.38,0.2,2.5,0.02,0.38
10,District 10,68072,52.67,41.76,1.56,0.09,1.03,0.08,0.35
11,District 11,67381,25.8,66.16,1.56,0.26,2.83,0.01,0.87
12,District 12,67543,48.97,45.86,1.98,0.07,0.85,0.0,0.34
13,District 13,71395,75.14,16.61,2.59,0.06,3.05,0.01,0.27
14,District 14,69949,70.76,14.35,2.04,0.1,9.98,0.04,0.37
15,District 15,64777,84.23,7.94,4.5,0.01,0.77,0.02,0.11
16,District 16,69093,38.83,55.28,2.44,0.1,0.71,0.01,0.65
17,District 17,67529,49.13,42.66,2.68,0.31,2.51,0.02,0.48
18,District 18,72372,41.05,50.32,1.66,0.11,2.57,0.14,0.66
19,District 19,68600,64.19,25.35,1.9,0.04,5.34,0.01,0.26
20,District 20,69435,78.36,12.05,2.81,0.07,5.38,0.02,0.09
21,District 21,59168,70.58,10.03,2.99,0.19,13.56,0.04,0.67
22,District 22,70297,89.0,2.98,2.45,0.1,3.98,0.01,0.06
23,District 23,67694,76.86,4.1,4.2,0.15,11.16,0.01,0.42
24,District 24,65310,67.5,9.71,3.25,0.15,16.73,0.02,0.17
25,District 25,68482,68.04,23.06,2.66,0.41,2.88,0.01,0.21
26,District 26,66959,53.5,37.02,3.67,0.26,0.74,0.04,0.45
27,District 27,69614,87.96,3.59,5.17,0.08,0.81,0.03,0.01
28,District 28,68525,79.84,8.06,6.8,0.15,2.26,0.06,0.12
29,District 29,69356,80.9,11.08,4.06,0.06,0.96,0.02,0.12
30,District 30,73338,91.83,2.12,3.3,0.04,0.52,0.01,0.37
31,District 31,74101,79.07,13.65,3.36,0.08,1.25,0.04,0.11
32,District 32,67550,58.11,28.41,5.44,0.19,2.93,0.05,0.64
33,District 33,70557,75.8,8.23,4.38,0.1,8.49,0.03,0.33
34,District 34,72226,87.87,2.73,7.22,0.1,0.33,0.02,0.2
35,District 35,70620,93.4,1.38,2.92,0.08,0.32,0.05,0.14
36,District 36,66879,90.17,2.99,3.81,0.17,0.51,0.02,0.11
37,District 37,70044,85.19,5.29,4.64,0.39,1.64,0.01,0.14
38,District 38,71179,75.77,17.02,3.42,0.18,0.92,0.07,0.24
39,District 39,67901,87.48,2.19,7.64,0.38,0.23,0.03,0.1
40,District 40,67909,83.61,6.6,3.95,0.18,2.96,0.04,0.34
41,District 41,69114,69.1,19.73,5.58,0.2,1.73,0.02,0.34
42,District 42,71110,90.84,2.98,3.23,0.05,1.05,0.05,0.07
43,District 43,71013,92.69,0.71,4.22,0.08,0.71,0.05,0.07
44,District 44,66108,74.73,13.57,4.91,0.34,2.11,0.03,0.63
45,District 45,69890,93.79,1.63,2.66,0.16,0.28,0.01,0.09
46,District 46,70826,80.52,12.02,3.68,0.31,0.54,0.03,0.27
47,District 47,71166,87.97,2.89,3.0,0.28,3.09,0.06,0.33
48,District 48,70920,90.3,2.12,2.47,0.09,3.03,0.01,0.2
49,District 49,71427,88.06,4.66,2.6,0.07,2.79,0.0,0.29
50,District 50,74277,95.26,0.28,2.3,0.21,0.64,0.0,0.05
51,District 51,70983,93.14,1.8,2.46,0.1,0.94,0.01,0.07
52,District 52,70042,87.93,3.15,4.84,0.23,1.4,0.07,0.25
53,District 53,68126,50.08,32.93,10.07,0.18,2.96,0.01,0.83
54,District 54,68118,79.19,7.13,4.77,0.12,6.06,0.01,0.24
55,District 55,64765,81.22,3.83,2.55,0.09,9.9,0.02,0.3
56,District 56,62811,77.0,4.13,2.36,0.13,14.31,0.07,0.18
57,District 57,67582,76.16,6.38,1.66,0.24,13.06,0.17,0.59
58,District 58,68473,82.54,8.21,2.05,0.13,4.24,0.01,0.18
59,District 59,67420,91.31,1.79,2.74,0.11,2.75,0.29,0.08
60,District 60,67885,85.35,7.54,1.91,0.13,2.84,0.0,0.18
61,District 61,73431,76.46,14.48,2.43,0.07,3.08,0.0,0.31
62,District 62,71594,81.63,12.1,2.54,0.18,0.9,0.1,0.31
63,District 63,72198,90.82,3.75,2.08,0.11,0.73,0.01,0.43
64,District 64,71353,90.27,2.88,3.88,0.11,0.51,0.03,0.11
65,District 65,72183,91.48,3.06,3.54,0.09,0.32,0.01,0.07
66,District 66,71022,92.5,1.6,3.17,0.05,1.22,0.0,0.06
67,District 67,72925,91.53,2.59,2.68,0.24,0.24,0.01,0.15
68,District 68,73107,86.5,6.07,3.47,0.2,1.75,0.0,0.17
69,District 69,67437,73.25,19.92,3.32,0.25,0.62,0.0,0.01
70,District 70,68653,41.8,50.38,4.19,0.36,0.5,0.03,0.29
71,District 71,72657,94.18,1.07,2.76,0.09,0.4,0.01,0.12
72,District 72,71770,88.96,4.39,2.82,0.14,1.08,0.04,0.17
73,District 73,70654,84.12,3.13,4.38,0.16,4.72,0.07,0.4
74,District 74,66452,65.94,16.95,9.54,0.27,3.33,0.01,0.3
75,District 75,71122,86.29,4.13,4.27,0.19,2.46,0.01,0.33
76,District 76,71797,82.61,7.56,5.45,0.18,1.56,0.04,0.42
77,District 77,71966,75.2,10.82,8.51,0.19,1.19,0.0,0.24
78,District 78,71582,89.64,3.02,3.39,0.51,0.36,0.01,0.15
79,District 79,65963,88.17,3.27,3.76,0.22,2.96,0.05,0.04
80,District 80,63212,76.74,10.37,4.79,0.13,5.46,0.01,0.13
81,District 81,68767,83.38,6.49,4.81,0.16,1.94,0.1,0.29
82,District 82,65235,61.11,24.5,8.41,0.22,2.11,0.0,0.35
83,District 83,61434,64.78,9.51,19.91,0.1,1.5,0.01,0.52
84,District 84,70494,82.35,6.07,7.5,0.29,1.8,0.01,0.33
85,District 85,65679,90.44,1.25,4.52,0.07,2.29,0.04,0.12
86,District 86,68057,76.88,2.35,15.77,0.1,3.22,0.01,0.05
87,District 87,67877,68.41,21.07,5.81,0.54,0.56,0.12,0.31
88,District 88,71852,91.77,1.91,3.28,0.28,1.29,0.03,0.08
89,District 89,73123,91.31,1.63,3.93,0.22,0.64,0.02,0.25
90,District 90,68947,92.3,1.32,3.8,0.16,0.61,0.0,0.02
91,District 91,71899,91.69,1.83,3.43,0.23,0.18,0.0,0.17
92,District 92,74289,85.24,4.63,4.9,1.79,0.84,0.03,0.23
93,District 93,69397,90.26,4.06,3.41,0.17,0.7,0.02,0.1
94,District 94,66833,52.68,32.45,11.77,0.15,0.71,0.01,0.18
95,District 95,71738,92.82,1.13,2.78,0.19,1.49,0.0,0.17
96,District 96,72067,90.85,1.17,4.94,0.09,0.51,0.08,0.18
97,District 97,75227,91.05,3.04,3.8,0.12,0.25,0.03,0.11
98,District 98,71715,95.01,0.43,3.02,0.06,0.29,0.01,0.09
99,District 99,73097,94.96,0.51,2.04,0.19,0.46,0.01,0.04
100,District 100,74356,93.8,1.68,1.99,0.36,0.33,0.01,0.14
101,District 101,73591,91.04,1.82,4.26,0.39,0.39,0.07,0.23
102,District 102,73526,90.34,1.77,5.05,0.6,0.32,0.01,0.02
103,District 103,77165,93.57,0.76,2.52,0.66,0.52,0.01,0.1
104,District 104,72943,94.31,0.44,1.92,0.6,0.44,0.03,0.09
105,District 105,73242,95.23,0.53,1.73,0.26,0.3,0.0,0.11
106,District 106,76544,95.15,0.63,1.28,0.65,0.2,0.01,0.09
107,District 107,74515,87.58,0.44,1.41,5.2,0.52,0.04,0.36
108,District 108,73697,86.98,3.57,1.58,3.94,0.3,0.01,0.2
109,District 109,74115,90.24,2.77,1.49,1.85,0.42,0.03,0.22
110,District 110,72881,94.68,0.6,1.53,0.72,0.68,0.1,0.04
