district,name,total_population,white_vap_pct,black_vap_pct,hispanic_vap_pct,native_vap_pct,asian_vap_pct,pacific_vap_pct,multiracial_vap_pct
1,District 1,636103,92.4,1.18,1.71,1.62,0.43,0.03,0.14
2,District 2,612232,91.0,2.18,3.56,0.56,0.43,0.03,0.17
3,District 3,570771,78.38,9.72,6.95,0.21,2.03,0.03,0.23
4,District 4,580946,81.87,7.6,6.17,0.19,1.77,0.04,0.21
5,District 5,597504,89.37,3.82,3.82,0.17,0.57,0.03,0.19
6,District 6,574056,75.68,9.86,4.05,0.16,7.21,0.02,0.3
7,District 7,599056,85.29,5.27,4.8,0.17,1.92,0.02,0.23
8,District 8,597472,78.07,14.08,4.54,0.18,0.85,0.02,0.18
9,District 9,600416,91.56,2.32,3.2,0.11,1.04,0.01,0.12
10,District 10,585025,76.54,13.25,2.31,0.12,5.09,0.07,0.28
11,District 11,583848,74.37,13.35,3.78,0.12,5.69,0.05,0.41
12,District 12,561074,48.26,44.78,2.59,0.15,1.33,0.02,0.44
13,District 13,553184,41.84,46.27,6.76,0.2,1.97,0.06,0.45
