district,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
1,775459,16534,758923,708683,8407,13608,3283,133,1250,4601,15759,2886,319,29686,6169,13331,636103,10907,625193,587735,7494,10326,2750,170,895,2438,11553,1651,185,22064,4398,10119
2,775151,34453,740698,695627,15246,4169,3279,189,1514,8463,8922,2998,336,13428,6278,24030,612232,21821,590408,557120,13317,3403,2657,186,1017,4292,6617,1554,252,10275,4212,17857
3,745602,68019,677542,554189,78058,1383,15583,197,2621,14783,4425,5599,628,6433,21185,93492,570771,39665,531074,447387,55453,1186,11608,191,1335,7353,3182,2934,433,4806,14545,63251
4,756715,60746,695997,593606,59928,1400,13098,206,2120,14786,5067,4534,1261,7732,17701,75957,580946,35863,545112,475627,44163,1131,10271,210,1220,5637,3775,2219,825,5722,12565,50614
5,761540,37005,724537,665878,28683,1183,4026,162,1984,11588,6533,4087,427,8141,8042,40706,597504,22817,574692,533993,22838,1020,3423,168,1119,4770,4838,2282,283,6142,5629,27891
6,724010,34936,689050,529858,72715,1174,55805,183,2531,11706,4310,9853,893,6375,65651,85318,574056,23231,550801,434466,56608,896,41413,138,1695,6607,3441,4930,596,4933,46336,63812
7,756617,41742,714872,629608,40799,1396,16251,150,2215,12022,5394,6845,219,7007,23098,53024,599056,28740,570317,510922,31579,992,11474,98,1401,5211,4265,4197,185,5441,15674,36973
8,762616,41440,721176,574563,113348,1366,6400,222,1992,13816,5719,3249,514,7600,9644,127678,597472,27147,570315,466466,84146,1094,5062,124,1063,5772,4335,1913,351,5782,6974,90267
9,766749,28909,737848,691427,18006,748,8398,43,1613,7249,5733,4432,175,6655,12833,25444,600416,19207,581222,549765,13916,637,6236,65,742,3330,4153,2184,187,4974,8418,17440
10,736155,20560,715596,541831,105415,946,40990,475,2481,11747,4206,6131,1372,6524,47124,118532,585025,13510,571515,447778,77545,727,29772,412,1614,5453,3220,3780,1209,5156,33553,84207
11,727752,35067,692716,521779,98796,975,44598,407,3406,10711,3353,7856,845,5177,52456,110350,583848,22061,561811,434236,77946,694,33245,302,2371,5715,2788,3851,661,4145,37102,84319
12,737567,22506,715060,344500,332653,1100,9302,134,3449,13552,3094,4886,2409,6598,14188,348630,561074,14546,546537,270784,251222,858,7486,101,2481,6688,2356,2395,2147,5350,9881,260108
13,734246,63903,670344,285573,341716,1266,14302,392,4439,11848,3338,4322,3129,7738,18624,356677,553184,37409,515766,231439,255939,1088,10873,338,2475,5996,2687,2375,2575,6361,13248,264459
