district,name,total_population,white_vap_pct,black_vap_pct,hispanic_vap_pct,native_vap_pct,asian_vap_pct,pacific_vap_pct,multiracial_vap_pct
1,District 1,184174,46.69,36.46,13.01,0.13,0.79,0.11,0.48
2,District 2,167494,65.21,24.93,6.58,0.09,0.73,0.01,0.17
3,District 3,195031,43.88,43.86,1.83,0.27,7.3,0.03,0.43
4,District 4,206002,77.44,13.08,4.78,0.16,1.49,0.04,0.13
5,District 5,192086,66.47,19.63,3.35,0.22,7.08,0.02,0.25
6,District 6,192130,51.17,40.72,2.5,0.23,2.82,0.08,0.62
7,District 7,197138,42.74,45.14,4.85,0.11,3.35,0.01,0.62
8,District 8,202327,52.45,40.7,2.34,0.08,1.88,0.03,0.52
9,District 9,186987,77.15,4.99,2.22,0.18,12.99,0.09,0.35
10,District 10,201253,48.82,42.8,1.72,0.11,3.87,0.01,0.45
11,District 11,198102,71.82,21.24,2.0,0.13,2.09,0.03,0.3
12,District 12,201586,82.97,10.52,2.53,0.11,0.98,0.04,0.38
13,District 13,192986,77.9,9.02,2.55,0.09,8.61,0.02,0.21
14,District 14,204072,84.81,6.35,3.1,0.22,2.68,0.03,0.3
15,District 15,207665,71.54,13.65,4.95,0.16,6.11,0.03,0.38
16,District 16,212051,91.01,2.11,4.41,0.08,0.35,0.03,0.22
17,District 17,204591,88.74,4.04,3.8,0.24,0.77,0.02,0.19
18,District 18,203869,88.03,4.49,3.45,0.3,1.12,0.04,0.2
19,District 19,206522,81.04,9.84,4.27,0.14,1.9,0.03,0.25
20,District 20,195230,82.5,8.01,5.66,0.22,1.37,0.04,0.13
21,District 21,200516,75.83,11.42,7.32,0.2,1.96,0.04,0.38
22,District 22,206245,94.42,0.85,2.44,0.14,0.64,0.0,0.11
23,District 23,205835,88.2,4.15,3.56,0.14,1.8,0.03,0.2
24,District 24,197769,91.91,1.36,3.31,0.12,1.85,0.1,0.06
25,District 25,206374,92.54,2.33,3.04,0.08,0.33,0.02,0.08
26,District 26,204892,90.99,3.04,3.57,0.15,0.31,0.01,0.07
27,District 27,196541,64.85,27.37,3.74,0.29,1.11,0.02,0.23
28,District 28,202001,86.09,3.46,4.6,0.15,2.74,0.0,0.22
29,District 29,182905,66.63,15.68,11.25,0.17,2.84,0.0,0.39
30,District 30,205696,85.74,4.58,5.46,0.18,1.73,0.04,0.18
31,District 31,199263,86.41,1.56,8.16,0.13,2.29,0.03,0.09
32,District 32,204719,83.44,8.26,4.56,0.56,0.46,0.05,0.21
33,District 33,208677,90.49,2.47,3.79,0.35,0.35,0.04,0.17
34,District 34,215980,91.25,2.42,3.03,0.84,0.48,0.01,0.15
35,District 35,209319,78.46,11.61,6.57,0.09,1.06,0.03,0.22
36,District 36,221375,95.11,0.61,1.77,0.21,0.38,0.01,0.08
37,District 37,213589,91.54,0.56,1.9,2.42,0.47,0.02,0.19
38,District 38,218695,90.64,2.35,1.54,2.13,0.46,0.05,0.15
