district,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
1,77912,31080,46831,17182,26523,218,139,14,256,1722,368,93,326,891,232,28537,53068,16826,36237,13834,20474,189,141,4,147,746,320,57,336,822,198,21526
2,86099,15142,70964,58246,8486,47,670,245,237,1350,716,840,144,908,1510,9979,64520,9292,55240,46746,5848,46,627,189,153,548,625,315,152,824,942,6548
3,80363,2685,77685,67252,7054,39,887,11,35,777,238,1368,21,298,2253,7854,53526,1928,51599,45422,4429,37,616,4,38,170,171,694,20,229,1306,4618
4,87055,2487,84569,4740,76999,102,79,35,926,1246,103,7,317,543,86,78578,64958,1640,63321,3941,57296,73,79,34,705,792,77,9,299,472,88,58402
5,91217,1238,89974,12738,73837,177,802,48,602,1112,140,246,298,615,1059,75248,69713,772,68937,10338,56078,175,594,56,511,700,135,133,237,547,737,57014
6,89606,3843,85757,74427,6022,155,2269,4,379,882,424,1175,24,603,3445,6927,72682,2645,70035,61632,4458,50,2078,0,320,572,347,564,17,414,2641,5046
7,82562,1115,81463,23771,45630,317,8404,47,546,787,75,1544,340,732,9948,46778,58683,560,58129,15361,34931,278,5622,16,340,477,48,751,287,613,6373,35716
8,88289,1757,86532,22999,60188,49,941,8,527,827,190,346,457,696,1287,61472,69685,1378,68307,20435,45457,51,771,4,288,490,198,166,447,696,937,46394
9,87599,2154,85425,19087,61958,142,1921,10,464,979,251,193,449,842,2114,63384,73561,1749,71808,17791,50111,150,1839,18,280,874,177,207,391,718,2046,51372
10,91296,1644,89655,44638,40948,54,773,51,381,1570,265,661,292,597,1429,42807,68072,1061,67009,35853,28428,59,703,56,240,754,215,479,218,493,1175,29399
11,91097,1793,89295,20565,62194,256,2786,0,1022,1507,300,290,355,911,3076,64052,67381,1050,66323,17384,44581,174,1904,10,588,986,278,131,277,728,2036,45838
12,87218,1822,85395,38692,43331,73,660,5,325,1416,287,406,230,603,1070,44978,67543,1334,66212,33078,30978,48,571,0,227,629,245,281,168,458,860,31774
13,89644,2687,86957,64481,15927,51,3258,17,317,1487,629,665,131,812,3923,17549,71395,1850,69548,53645,11859,46,2178,4,194,573,496,431,116,660,2608,12551
14,86303,2100,84218,56930,14116,110,10009,28,419,1249,447,566,336,893,10574,15701,69949,1430,68527,49499,10035,72,6981,30,262,602,371,366,312,756,7345,10952
15,86729,4406,82312,72174,6740,10,690,13,155,1165,660,553,106,776,1243,8018,64777,2912,61862,54560,5141,5,500,11,74,591,505,352,107,616,854,5843
16,90962,3117,87850,32768,51306,102,516,0,752,1345,333,428,272,704,943,52974,69093,1684,67416,26826,38197,69,494,10,446,807,251,112,216,533,605,39231
17,86352,2650,83697,38395,39729,178,1899,22,529,1707,325,587,338,843,2486,41730,67529,1807,65722,33177,28809,212,1693,15,323,704,318,169,285,818,1862,29787
18,88004,1572,86435,36437,43296,90,2151,194,670,2607,284,401,540,916,2544,46284,72372,1203,71167,29707,36420,82,1862,98,481,1566,253,255,565,901,2107,38499
19,86847,1821,85033,54429,21198,18,5411,8,305,2081,183,983,251,452,6394,23685,68600,1304,67298,44032,17388,25,3666,6,177,1212,159,323,244,430,3994,18896
20,87780,3172,84597,67567,10580,68,4579,11,167,436,277,843,100,445,5429,11112,69435,1949,67475,54411,8367,52,3733,17,61,236,143,362,113,308,4103,8718
21,78830,2879,75941,52069,8080,207,13099,26,521,374,285,1127,80,573,14221,8530,59168,1769,57389,41762,5933,114,8024,21,397,261,198,507,73,385,8527,6267
22,86471,2685,83783,75212,2528,86,3890,6,60,248,552,1231,0,639,5124,2769,70297,1719,68570,62566,2097,71,2795,6,42,98,367,522,8,446,3318,2203
23,81825,3733,78094,62193,3204,93,9152,0,322,860,266,1883,37,392,11033,4108,67694,2846,64843,52028,2773,100,7555,4,283,609,223,1195,51,372,8738,3431
24,85984,3203,82782,55944,8272,135,15158,5,275,1335,484,985,95,718,16158,9692,65310,2125,63180,44082,6343,100,10928,10,109,590,419,462,54,578,11405,6988
25,85990,2805,83188,56225,20122,396,2558,0,201,2138,656,937,98,1146,3482,22359,68482,1819,66670,46594,15795,278,1974,8,143,814,521,562,78,872,2523,16683
26,87859,4134,83718,42865,34217,275,646,25,464,2993,845,366,1006,2125,1015,38221,66959,2455,64501,35822,24791,172,498,25,298,1374,612,219,681,1463,717,26847
27,87199,5624,81568,74982,3152,81,629,29,26,1005,855,701,91,1026,1330,4249,69614,3601,66001,61230,2498,56,565,19,8,492,721,391,12,788,956,3002
28,88180,7002,81213,67811,7275,157,2207,56,124,2149,515,691,208,878,2910,9611,68525,4660,63898,54710,5525,103,1550,44,80,1074,416,280,103,618,1841,6701
29,89855,4823,84983,68051,12210,96,791,8,532,1814,941,632,19,1060,1411,14007,69356,2819,66479,56111,7685,39,664,17,81,806,755,342,23,823,995,8510
30,93304,3636,89682,84409,1855,17,416,5,436,1146,877,382,54,946,797,3108,73338,2420,70949,67344,1553,30,382,5,273,385,670,222,64,762,604,2008
31,91400,3676,87739,70920,12271,63,1223,30,138,2060,636,392,24,724,1620,14347,74101,2493,71621,58588,10114,58,929,26,78,1087,519,194,34,613,1125,11234
