statefp20,countyfp20,county_geoid20,county_name,CVAP_TOT24
26,001,26001,Alcona County,9051
26,003,26003,Alger County,7430
26,005,26005,Allegan County,91104
26,007,26007,Alpena County,23374
26,009,26009,Antrim County,19827
26,011,26011,Arenac County,12235
26,013,26013,Baraga County,6781
26,015,26015,Barry County,48753
26,017,26017,Bay County,82472
26,019,26019,Benzie County,15113
26,021,26021,Berrien County,116694
26,023,26023,Branch County,33635
26,025,26025,Calhoun County,100699
26,027,26027,Cass County,40485
26,029,26029,Charlevoix County,21430
26,031,26031,Cheboygan County,21730
26,033,26033,Chippewa County,29433
26,035,26035,Clare County,25088
26,037,26037,Clinton County,61700
26,039,26039,Crawford County,10961
26,041,26041,Delta County,29641
26,043,26043,Dickinson County,20589
26,045,26045,Eaton County,85053
26,047,26047,Emmet County,27778
26,049,26049,Genesee County,309721
26,051,26051,Gladwin County,20737
26,053,26053,Gogebic County,11915
26,055,26055,Grand Traverse County,76856
26,057,26057,Gratiot County,32963
26,059,26059,Hillsdale County,35550
26,061,26061,Houghton County,28920
26,063,26063,Huron County,24967
26,065,26065,Ingham County,215031
26,067,26067,Ionia County,52234
26,069,26069,Iosco County,20911
26,071,26071,Iron County,9591
26,073,26073,Isabella County,51783
26,075,26075,Jackson County,124873
26,077,26077,Kalamazoo County,199376
26,079,26079,Kalkaska County,14494
26,081,26081,Kent County,478249
26,083,26083,Keweenaw County,1808
26,085,26085,Lake County,10662
26,087,26087,Lapeer County,70086
26,089,26089,Leelanau County,19128
26,091,26091,Lenawee County,77204
26,093,26093,Livingston County,154489
26,095,26095,Luce County,5215
26,097,26097,Mackinac County,8805
26,099,26099,Macomb County,671310
26,101,26101,Manistee County,21001
26,103,26103,Marquette County,54909
26,105,26105,Mason County,23227
26,107,26107,Mecosta County,32985
26,109,26109,Menominee County,19041
26,111,26111,Midland County,65461
26,113,26113,Missaukee County,11727
26,115,26115,Monroe County,121558
26,117,26117,Montcalm County,52649
26,119,26119,Montmorency County,8036
26,121,26121,Muskegon County,134907
26,123,26123,Newaygo County,39184
26,125,26125,Oakland County,951117
26,127,26127,Oceana County,20446
26,129,26129,Ogemaw County,17037
26,131,26131,Ontonagon County,5176
26,133,26133,Osceola County,17972
26,135,26135,Oscoda County,6742
26,137,26137,Otsego County,20046
26,139,26139,Ottawa County,225047
26,141,26141,Presque Isle County,11137
26,143,26143,Roscommon County,20205
26,145,26145,Saginaw County,146581
26,147,26147,St. Clair County,126458
26,149,26149,St. Joseph County,44564
26,151,26151,Sanilac County,31792
26,153,26153,Schoolcraft County,6657
26,155,26155,Shiawassee County,53669
26,157,26157,Tuscola County,42177
26,159,26159,Van Buren County,56420
26,161,26161,Washtenaw County,280253
26,163,26163,Wayne County,1291520
26,165,26165,Wexford County,26082
