county,precinct,office,district,party,candidate,votes
Alcona,Alcona Township 1,President,,NPA,Tom Hoefling,0
Alcona,Alcona Township 1,President,,NPA,Michael A. Maturen,0
Alcona,Alcona Township 1,President,,NPA,Monica Moorehead,0
Alcona,Alcona Township 1,President,,NPA,Evan Mcmullin,0
Alcona,Alcona Township 1,President,,NPA,Laurence Kotlikoff,0
Alcona,Alcona Township 1,President,,NPA,Ben Hartnell,0
Alcona,Alcona Township 1,President,,NPA,Cherunda Fox,0
Alcona,Alcona Township 1,President,,GRN,Jill Stein,2
Alcona,Alcona Township 1,President,,DEM,Hillary Clinton,199
Alcona,Alcona Township 1,President,,NLP,Emidio Mimi Soltysik,0
Alcona,Alcona Township 1,President,,REP,Donald J. Trump,500
Alcona,Alcona Township 1,President,,UST,Darrell L. Castle,4
Alcona,Alcona Township 1,President,,LIB,Gary Johnson,13
Alcona,Alcona Township 1,U.S. House,1,GRN,Ellis Boal,2
Alcona,Alcona Township 1,U.S. House,1,LIB,Diane Bostow,14
Alcona,Alcona Township 1,U.S. House,1,DEM,Lon Johnson,237
Alcona,Alcona Township 1,U.S. House,1,REP,Jack Bergman,448
Alcona,Alcona Township 1,State House,106,DEM,Robert Kennedy,215
Alcona,Alcona Township 1,State House,106,REP,Sue Allor,476
Alcona,Alcona Township 1,State House,106,LIB,Dana Carver,15
Alcona,Alcona Township 1,State House,106,NPA,John Caplis,0
Alcona,Caledonia Township 1,President,,NPA,Tom Hoefling,0
Alcona,Caledonia Township 1,President,,NPA,Michael A. Maturen,0
Alcona,Caledonia Township 1,President,,NPA,Monica Moorehead,0
Alcona,Caledonia Township 1,President,,NPA,Evan Mcmullin,0
Alcona,Caledonia Township 1,President,,NPA,Laurence Kotlikoff,0
Alcona,Caledonia Township 1,President,,NPA,Ben Hartnell,0
Alcona,Caledonia Township 1,President,,NPA,Cherunda Fox,0
Alcona,Caledonia Township 1,President,,GRN,Jill Stein,4
Alcona,Caledonia Township 1,President,,DEM,Hillary Clinton,178
Alcona,Caledonia Township 1,President,,NLP,Emidio Mimi Soltysik,0
Alcona,Caledonia Township 1,President,,REP,Donald J. Trump,441
Alcona,Caledonia Township 1,President,,UST,Darrell L. Castle,5
Alcona,Caledonia Township 1,President,,LIB,Gary Johnson,14
Alcona,Caledonia Township 1,U.S. House,1,GRN,Ellis Boal,2
Alcona,Caledonia Township 1,U.S. House,1,LIB,Diane Bostow,15
Alcona,Caledonia Township 1,U.S. House,1,DEM,Lon Johnson,245
Alcona,Caledonia Township 1,U.S. House,1,REP,Jack Bergman,366
Alcona,Caledonia Township 1,State House,106,DEM,Robert Kennedy,205
Alcona,Caledonia Township 1,State House,106,REP,Sue Allor,411
Alcona,Caledonia Township 1,State House,106,LIB,Dana Carver,20
Alcona,Caledonia Township 1,State House,106,NPA,John Caplis,0
Alcona,Curtis Township 1,President,,NPA,Tom Hoefling,0
Alcona,Curtis Township 1,President,,NPA,Michael A. Maturen,0
Alcona,Curtis Township 1,President,,NPA,Monica Moorehead,0
Alcona,Curtis Township 1,President,,NPA,Evan Mcmullin,0
Alcona,Curtis Township 1,President,,NPA,Laurence Kotlikoff,0
Alcona,Curtis Township 1,President,,NPA,Ben Hartnell,0
Alcona,Curtis Township 1,President,,NPA,Cherunda Fox,0
Alcona,Curtis Township 1,President,,GRN,Jill Stein,13
Alcona,Curtis Township 1,President,,DEM,Hillary Clinton,214
Alcona,Curtis Township 1,President,,NLP,Emidio Mimi Soltysik,0
Alcona,Curtis Township 1,President,,REP,Donald J. Trump,401
Alcona,Curtis Township 1,President,,UST,Darrell L. Castle,3
Alcona,Curtis Township 1,President,,LIB,Gary Johnson,8
Alcona,Curtis Township 1,U.S. House,1,GRN,Ellis Boal,10
Alcona,Curtis Township 1,U.S. House,1,LIB,Diane Bostow,22
Alcona,Curtis Township 1,U.S. House,1,DEM,Lon Johnson,268
Alcona,Curtis Township 1,U.S. House,1,REP,Jack Bergman,315
Alcona,Curtis Township 1,State House,106,DEM,Robert Kennedy,253
Alcona,Curtis Township 1,State House,106,REP,Sue Allor,353
Alcona,Curtis Township 1,State House,106,LIB,Dana Carver,21
Alcona,Curtis Township 1,State House,106,NPA,John Caplis,0
Alcona,Greenbush Township 1,President,,NPA,Tom Hoefling,0
Alcona,Greenbush Township 1,President,,NPA,Michael A. Maturen,0
Alcona,Greenbush Township 1,President,,NPA,Monica Moorehead,0
Alcona,Greenbush Township 1,President,,NPA,Evan Mcmullin,0
Alcona,Greenbush Township 1,President,,NPA,Laurence Kotlikoff,0
Alcona,Greenbush Township 1,President,,NPA,Ben Hartnell,0
Alcona,Greenbush Township 1,President,,NPA,Cherunda Fox,0
Alcona,Greenbush Township 1,President,,GRN,Jill Stein,4
Alcona,Greenbush Township 1,President,,DEM,Hillary Clinton,256
Alcona,Greenbush Township 1,President,,NLP,Emidio Mimi Soltysik,0
Alcona,Greenbush Township 1,President,,REP,Donald J. Trump,501
Alcona,Greenbush Township 1,President,,UST,Darrell L. Castle,2
Alcona,Greenbush Township 1,President,,LIB,Gary Johnson,22
Alcona,Greenbush Township 1,U.S. House,1,GRN,Ellis Boal,7
Alcona,Greenbush Township 1,U.S. House,1,LIB,Diane Bostow,19
Alcona,Greenbush Township 1,U.S. House,1,DEM,Lon Johnson,293
Alcona,Greenbush Township 1,U.S. House,1,REP,Jack Bergman,450
Alcona,Greenbush Township 1,State House,106,DEM,Robert Kennedy,286
Alcona,Greenbush Township 1,State House,106,REP,Sue Allor,468
Alcona,Greenbush Township 1,State House,106,LIB,Dana Carver,19
Alcona,Greenbush Township 1,State House,106,NPA,John Caplis,0
Alcona,Gustin Township 1,President,,NPA,Tom Hoefling,0
Alcona,Gustin Township 1,President,,NPA,Michael A. Maturen,0
Alcona,Gustin Township 1,President,,NPA,Monica Moorehead,0
Alcona,Gustin Township 1,President,,NPA,Evan Mcmullin,0
Alcona,Gustin Township 1,President,,NPA,Laurence Kotlikoff,0
