county,precinct,office,district,party,candidate,votes
Alcona,Alcona Township 1,President,,NPA,Tom Hoefling,0
Alcona,Alcona Township 1,President,,NPA,Jerry White,0
Alcona,Alcona Township 1,President,,NPA,Stewart Alexander,0
Alcona,Alcona Township 1,President,,NPA,Gary Johnson,0
Alcona,Alcona Township 1,President,,DEM,Barack Obama,254
Alcona,Alcona Township 1,President,,REP,Mitt Romney,455
Alcona,Alcona Township 1,President,,NLP,Ross C. Anderson,2
Alcona,Alcona Township 1,President,,GRN,Jill Stein,4
Alcona,Alcona Township 1,President,,UST,"Virgil H. Goode, Jr.",1
Alcona,Alcona Township 1,U.S. Senate,,NPA,Katherine Houston,0
Alcona,Alcona Township 1,U.S. Senate,,NPA,Amitabh Ghosh,0
Alcona,Alcona Township 1,U.S. Senate,,NLP,John D. Litle,2
Alcona,Alcona Township 1,U.S. Senate,,NPA,Raymond T. O'Donnell,0
Alcona,Alcona Township 1,U.S. Senate,,UST,Richard A. Matkin,1
Alcona,Alcona Township 1,U.S. Senate,,GRN,Harley Mikkelson,1
Alcona,Alcona Township 1,U.S. Senate,,LIB,Scotty Boman,6
Alcona,Alcona Township 1,U.S. Senate,,DEM,Debbie Stabenow,313
Alcona,Alcona Township 1,U.S. Senate,,REP,Pete Hoekstra,384
Alcona,Alcona Township 1,U.S. Senate,,NPA,Daniel E. Holloway,0
Alcona,Alcona Township 1,U.S. House,1,LIB,Emily Salvette,16
Alcona,Alcona Township 1,U.S. House,1,GRN,Ellis Boal,2
Alcona,Alcona Township 1,U.S. House,1,REP,Dan Benishek,422
Alcona,Alcona Township 1,U.S. House,1,DEM,Gary Mcdowell,262
Alcona,Alcona Township 1,State House,106,REP,Peter Pettalia,426
Alcona,Alcona Township 1,State House,106,DEM,Kenneth C. Hubbard,269
Alcona,Alcona Township 1,State House,106,GRN,John Daniel Longhurst,11
Alcona,Caledonia Township 1,President,,NPA,Tom Hoefling,0
Alcona,Caledonia Township 1,President,,NPA,Jerry White,0
Alcona,Caledonia Township 1,President,,NPA,Stewart Alexander,0
Alcona,Caledonia Township 1,President,,NPA,Gary Johnson,2
Alcona,Caledonia Township 1,President,,DEM,Barack Obama,287
Alcona,Caledonia Township 1,President,,REP,Mitt Romney,384
Alcona,Caledonia Township 1,President,,NLP,Ross C. Anderson,0
Alcona,Caledonia Township 1,President,,GRN,Jill Stein,1
Alcona,Caledonia Township 1,President,,UST,"Virgil H. Goode, Jr.",2
Alcona,Caledonia Township 1,U.S. Senate,,NPA,Katherine Houston,0
Alcona,Caledonia Township 1,U.S. Senate,,NPA,Amitabh Ghosh,0
Alcona,Caledonia Township 1,U.S. Senate,,NLP,John D. Litle,0
Alcona,Caledonia Township 1,U.S. Senate,,NPA,Raymond T. O'Donnell,0
Alcona,Caledonia Township 1,U.S. Senate,,UST,Richard A. Matkin,2
