county,precinct,office,district,party,candidate,votes
Alcona,Alcona Township 1,Governor,,REP,Rick Snyder,348
Alcona,Alcona Township 1,Governor,,UST,Mark Mcfarlin,3
Alcona,Alcona Township 1,Governor,,DEM,Mark Schauer,233
Alcona,Alcona Township 1,Governor,,LIB,Mary Buzuma,3
Alcona,Alcona Township 1,Governor,,GRN,Paul Homeniuk,1
Alcona,Alcona Township 1,Governor,,NPA,Richard Allan Sills,0
Alcona,Alcona Township 1,Governor,,NPA,Michael Shane Mark,0
Alcona,Alcona Township 1,Governor,,NPA,Sam F. Thomas,0
Alcona,Alcona Township 1,Governor,,NPA,Charles A. Pakkala,0
Alcona,Alcona Township 1,Governor,,NLP,Patrick Groulx,0
Alcona,Alcona Township 1,Secretary of State,,REP,Ruth Johnson,371
Alcona,Alcona Township 1,Secretary of State,,LIB,James Lewis,2
Alcona,Alcona Township 1,Secretary of State,,UST,Robert Gale,4
Alcona,Alcona Township 1,Secretary of State,,NLP,Jason Robert Gatties,2
Alcona,Alcona Township 1,Secretary of State,,DEM,Godfrey Dillard,191
Alcona,Alcona Township 1,Attorney General,,REP,Bill Schuette,374
Alcona,Alcona Township 1,Attorney General,,DEM,Mark Totten,185
Alcona,Alcona Township 1,Attorney General,,LIB,Justin M. Altman,3
Alcona,Alcona Township 1,Attorney General,,GRN,John Anthony La Pietra,2
Alcona,Alcona Township 1,Attorney General,,UST,Gerald T. Van Sickle,3
Alcona,Alcona Township 1,U.S. Senate,,NPA,Robert G. Boensch,0
Alcona,Alcona Township 1,U.S. Senate,,NPA,Jeff Jones,0
Alcona,Alcona Township 1,U.S. Senate,,NPA,George J. Saady,0
Alcona,Alcona Township 1,U.S. Senate,,NPA,Douglas A. Troszak,0
Alcona,Alcona Township 1,U.S. Senate,,UST,Richard A. Matkin,3
Alcona,Alcona Township 1,U.S. Senate,,LIB,Jim Fulner,3
Alcona,Alcona Township 1,U.S. Senate,,GRN,Chris Wahmhoff,3
Alcona,Alcona Township 1,U.S. Senate,,DEM,Gary Peters,229
Alcona,Alcona Township 1,U.S. Senate,,REP,Terri Lynn Land,340
Alcona,Alcona Township 1,U.S. House,1,LIB,Loel Robert Gnadt,4
Alcona,Alcona Township 1,U.S. House,1,GRN,Ellis Boal,2
Alcona,Alcona Township 1,U.S. House,1,DEM,Jerry Cannon,194
Alcona,Alcona Township 1,U.S. House,1,REP,Dan Benishek,371
Alcona,Alcona Township 1,State Senate,36,REP,Jim Stamas,360
Alcona,Alcona Township 1,State Senate,36,DEM,Joe Lukasiewicz,209
Alcona,Alcona Township 1,State House,106,REP,Peter Pettalia,348
Alcona,Alcona Township 1,State House,106,DEM,Robert Kennedy,227
Alcona,Caledonia Township 1,Governor,,REP,Rick Snyder,251
Alcona,Caledonia Township 1,Governor,,UST,Mark Mcfarlin,3
Alcona,Caledonia Township 1,Governor,,DEM,Mark Schauer,212
Alcona,Caledonia Township 1,Governor,,LIB,Mary Buzuma,4
Alcona,Caledonia Township 1,Governor,,GRN,Paul Homeniuk,0
Alcona,Caledonia Township 1,Governor,,NPA,Richard Allan Sills,0
Alcona,Caledonia Township 1,Governor,,NPA,Michael Shane Mark,0
Alcona,Caledonia Township 1,Governor,,NPA,Sam F. Thomas,0
Alcona,Caledonia Township 1,Governor,,NPA,Charles A. Pakkala,0
Alcona,Caledonia Township 1,Governor,,NLP,Patrick Groulx,0
Alcona,Caledonia Township 1,Secretary of State,,REP,Ruth Johnson,274
Alcona,Caledonia Township 1,Secretary of State,,LIB,James Lewis,3
Alcona,Caledonia Township 1,Secretary of State,,UST,Robert Gale,6
Alcona,Caledonia Township 1,Secretary of State,,NLP,Jason Robert Gatties,1
Alcona,Caledonia Township 1,Secretary of State,,DEM,Godfrey Dillard,179
Alcona,Caledonia Township 1,Attorney General,,REP,Bill Schuette,283
Alcona,Caledonia Township 1,Attorney General,,DEM,Mark Totten,176
Alcona,Caledonia Township 1,Attorney General,,LIB,Justin M. Altman,4
Alcona,Caledonia Township 1,Attorney General,,GRN,John Anthony La Pietra,1
Alcona,Caledonia Township 1,Attorney General,,UST,Gerald T. Van Sickle,3
Alcona,Caledonia Township 1,U.S. Senate,,NPA,Robert G. Boensch,0
Alcona,Caledonia Township 1,U.S. Senate,,NPA,Jeff Jones,0
Alcona,Caledonia Township 1,U.S. Senate,,NPA,George J. Saady,0
Alcona,Caledonia Township 1,U.S. Senate,,NPA,Douglas A. Troszak,0
Alcona,Caledonia Township 1,U.S. Senate,,UST,Richard A. Matkin,5
Alcona,Caledonia Township 1,U.S. Senate,,LIB,Jim Fulner,1
Alcona,Caledonia Township 1,U.S. Senate,,GRN,Chris Wahmhoff,0
Alcona,Caledonia Township 1,U.S. Senate,,DEM,Gary Peters,225
Alcona,Caledonia Township 1,U.S. Senate,,REP,Terri Lynn Land,243
Alcona,Caledonia Township 1,U.S. House,1,LIB,Loel Robert Gnadt,4
Alcona,Caledonia Township 1,U.S. House,1,GRN,Ellis Boal,1
Alcona,Caledonia Township 1,U.S. House,1,DEM,Jerry Cannon,185
Alcona,Caledonia Township 1,U.S. House,1,REP,Dan Benishek,278
Alcona,Caledonia Township 1,State Senate,36,REP,Jim Stamas,278
Alcona,Caledonia Township 1,State Senate,36,DEM,Joe Lukasiewicz,188
Alcona,Caledonia Township 1,State House,106,REP,Peter Pettalia,243
Alcona,Caledonia Township 1,State House,106,DEM,Robert Kennedy,226
Alcona,Curtis Township 1,Governor,,REP,Rick Snyder,238
Alcona,Curtis Township 1,Governor,,UST,Mark Mcfarlin,6
Alcona,Curtis Township 1,Governor,,DEM,Mark Schauer,217
Alcona,Curtis Township 1,Governor,,LIB,Mary Buzuma,8
Alcona,Curtis Township 1,Governor,,GRN,Paul Homeniuk,3
Alcona,Curtis Township 1,Governor,,NPA,Richard Allan Sills,0
Alcona,Curtis Township 1,Governor,,NPA,Michael Shane Mark,0
Alcona,Curtis Township 1,Governor,,NPA,Sam F. Thomas,0
Alcona,Curtis Township 1,Governor,,NPA,Charles A. Pakkala,0
Alcona,Curtis Township 1,Governor,,NLP,Patrick Groulx,0
Alcona,Curtis Township 1,Secretary of State,,REP,Ruth Johnson,247
Alcona,Curtis Township 1,Secretary of State,,LIB,James Lewis,10
Alcona,Curtis Township 1,Secretary of State,,UST,Robert Gale,10
Alcona,Curtis Township 1,Secretary of State,,NLP,Jason Robert Gatties,1
Alcona,Curtis Township 1,Secretary of State,,DEM,Godfrey Dillard,189
Alcona,Curtis Township 1,Attorney General,,REP,Bill Schuette,252
Alcona,Curtis Township 1,Attorney General,,DEM,Mark Totten,190
Alcona,Curtis Township 1,Attorney General,,LIB,Justin M. Altman,6
Alcona,Curtis Township 1,Attorney General,,GRN,John Anthony La Pietra,8
Alcona,Curtis Township 1,Attorney General,,UST,Gerald T. Van Sickle,7
Alcona,Curtis Township 1,U.S. Senate,,NPA,Robert G. Boensch,0
Alcona,Curtis Township 1,U.S. Senate,,NPA,Jeff Jones,0
Alcona,Curtis Township 1,U.S. Senate,,NPA,George J. Saady,0
Alcona,Curtis Township 1,U.S. Senate,,NPA,Douglas A. Troszak,0
Alcona,Curtis Township 1,U.S. Senate,,UST,Richard A. Matkin,8
Alcona,Curtis Township 1,U.S. Senate,,LIB,Jim Fulner,9
Alcona,Curtis Township 1,U.S. Senate,,GRN,Chris Wahmhoff,5
Alcona,Curtis Township 1,U.S. Senate,,DEM,Gary Peters,240
Alcona,Curtis Township 1,U.S. Senate,,REP,Terri Lynn Land,210
Alcona,Curtis Township 1,U.S. House,1,LIB,Loel Robert Gnadt,6
Alcona,Curtis Township 1,U.S. House,1,GRN,Ellis Boal,6
Alcona,Curtis Township 1,U.S. House,1,DEM,Jerry Cannon,201
Alcona,Curtis Township 1,U.S. House,1,REP,Dan Benishek,245
Alcona,Curtis Township 1,State Senate,36,REP,Jim Stamas,248
Alcona,Curtis Township 1,State Senate,36,DEM,Joe Lukasiewicz,205
Alcona,Curtis Township 1,State House,106,REP,Peter Pettalia,218
Alcona,Curtis Township 1,State House,106,DEM,Robert Kennedy,240
Alcona,Greenbush Township 1,Governor,,REP,Rick Snyder,311
