county_name,county_norm,population_2020,population_2021,population_2022,population_2023,population_2024,population_2025,change_2020_2025,change_2020_2025_pct,change_2024_2025,change_2024_2025_pct
Michigan,MICHIGAN,10072294,10042362,10043906,10062124,10099962,10127884,55590,0.551910,27922,0.276456
Alcona,ALCONA,10184,10290,10382,10502,10551,10556,372,3.652789,5,0.047389
Alger,ALGER,8845,8777,8782,8753,8707,8641,-204,-2.306388,-66,-0.758011
Allegan,ALLEGAN,120666,121082,121299,121935,122567,123188,2522,2.090067,621,0.506662
Alpena,ALPENA,28891,28953,28827,28868,28883,28853,-38,-0.131529,-30,-0.103867
Antrim,ANTRIM,23457,23879,24285,24416,24441,24698,1241,5.290532,257,1.051512
Arenac,ARENAC,14998,15012,15100,15131,15059,15068,70,0.466729,9,0.059765
Baraga,BARAGA,8143,8229,8184,8219,8222,8169,26,0.319293,-53,-0.644612
Barry,BARRY,62599,63133,63366,63849,64009,63991,1392,2.223678,-18,-0.028121
Bay,BAY,103739,103115,102736,102693,102432,102123,-1616,-1.557756,-309,-0.301664
Benzie,BENZIE,18002,18245,18340,18452,18492,18568,566,3.144095,76,0.410989
Berrien,BERRIEN,154395,153609,152991,152384,152394,152444,-1951,-1.263642,50,0.032810
Branch,BRANCH,44877,45214,44613,45603,46024,45993,1116,2.486797,-31,-0.067356
Calhoun,CALHOUN,134198,133907,133439,133331,133611,133408,-790,-0.588682,-203,-0.151934
Cass,CASS,51553,51539,51422,51570,51533,51677,124,0.240529,144,0.279433
Charlevoix,CHARLEVOIX,26042,26201,26121,26096,26123,26036,-6,-0.023040,-87,-0.333040
Cheboygan,CHEBOYGAN,25575,25732,25927,26043,25892,25793,218,0.852395,-99,-0.382357
Chippewa,CHIPPEWA,36793,35852,36204,36276,36109,36081,-712,-1.935151,-28,-0.077543
Clare,CLARE,30837,31141,31307,31380,31408,31543,706,2.289457,135,0.429827
Clinton,CLINTON,79168,79465,79692,79877,80189,80432,1264,1.596605,243,0.303034
Crawford,CRAWFORD,12986,13278,13439,13545,13606,13722,736,5.667642,116,0.852565
Delta,DELTA,36877,36839,36814,36820,36713,36582,-295,-0.799957,-131,-0.356822
Dickinson,DICKINSON,25896,25815,25959,26013,25918,25827,-69,-0.266450,-91,-0.351107
Eaton,EATON,109174,108866,108864,108915,109180,109581,407,0.372799,401,0.367283
Emmet,EMMET,34112,34301,34195,34028,33947,33775,-337,-0.987922,-172,-0.506672
Genesee,GENESEE,405746,404694,401952,401351,401288,401093,-4653,-1.146777,-195,-0.048594
Gladwin,GLADWIN,25371,25469,25653,25924,25945,26077,706,2.782705,132,0.508769
Gogebic,GOGEBIC,14349,14382,14404,14271,14253,14285,-64,-0.446024,32,0.224514
Grand Traverse,GRAND TRAVERSE,95428,96007,96330,96375,96464,96729,1301,1.363332,265,0.274714
Gratiot,GRATIOT,41657,41284,41130,41422,41362,41190,-467,-1.121060,-172,-0.415841
Hillsdale,HILLSDALE,45740,45647,45732,45643,45694,45738,-2,-0.004373,44,0.096293
Houghton,HOUGHTON,37256,37548,37728,37671,37703,37842,586,1.572901,139,0.368671
Huron,HURON,31378,31332,31153,30944,30741,30530,-848,-2.702530,-211,-0.686380
Ingham,INGHAM,285005,271708,284388,286405,287390,289709,4704,1.650497,2319,0.806917
Ionia,IONIA,66871,66854,66764,66122,66309,66557,-314,-0.469561,248,0.374007
Iosco,IOSCO,25189,25360,25451,25404,25425,25266,77,0.305689,-159,-0.625369
Iron,IRON,11630,11615,11705,11764,11773,11757,127,1.092003,-16,-0.135904
Isabella,ISABELLA,64518,64257,64486,64390,64873,64691,173,0.268142,-182,-0.280548
Jackson,JACKSON,160215,160195,159780,159607,159588,159552,-663,-0.413819,-36,-0.022558
Kalamazoo,KALAMAZOO,261780,260596,261121,262460,263122,263795,2015,0.769730,673,0.255775
Kalkaska,KALKASKA,17924,17988,18214,18418,18640,18693,769,4.290337,53,0.284335
Kent,KENT,658508,659070,659818,663819,670412,675232,16724,2.539681,4820,0.718961
Keweenaw,KEWEENAW,2059,2107,2150,2181,2165,2186,127,6.168043,21,0.969977
Lake,LAKE,12086,12271,12684,12772,13016,13182,1096,9.068344,166,1.275353
Lapeer,LAPEER,88595,88714,88705,89038,89275,89516,921,1.039562,241,0.269952
Leelanau,LEELANAU,22312,22633,22893,22951,22849,22982,670,3.002868,133,0.582082
Lenawee,LENAWEE,99348,99181,98296,97710,97825,97779,-1569,-1.579297,-46,-0.047023
Livingston,LIVINGSTON,193974,195367,196097,196731,196886,197315,3341,1.722396,429,0.217893
Luce,LUCE,6411,5982,6257,6401,6368,6339,-72,-1.123070,-29,-0.455402
Mackinac,MACKINAC,10821,10919,10981,10922,11103,11236,415,3.835135,133,1.197874
Macomb,MACOMB,880240,877873,875065,877396,882497,886221,5981,0.679474,3724,0.421984
Manistee,MANISTEE,25070,25344,25331,25516,25575,25656,586,2.337455,81,0.316716
Marquette,MARQUETTE,66542,66353,67062,67556,67816,68064,1522,2.287277,248,0.365695
Mason,MASON,29033,29344,29341,29144,29063,29040,7,0.024110,-23,-0.079138
Mecosta,MECOSTA,40414,40674,41393,41715,41932,42320,1906,4.716187,388,0.925308
Menominee,MENOMINEE,23454,23336,23295,23147,23122,22941,-513,-2.187260,-181,-0.782804
Midland,MIDLAND,83488,83509,83721,83915,83768,83754,266,0.318609,-14,-0.016713
Missaukee,MISSAUKEE,15067,15174,15223,15310,15196,15274,207,1.373863,78,0.513293
Monroe,MONROE,154912,155587,155376,155563,155870,156004,1092,0.704916,134,0.085969
Montcalm,MONTCALM,66659,67386,67287,68302,69072,69406,2747,4.120974,334,0.483553
Montmorency,MONTMORENCY,9169,9307,9562,9698,9787,9842,673,7.339950,55,0.561970
Muskegon,MUSKEGON,174783,175570,175458,176299,177225,177901,3118,1.783926,676,0.381436
Newaygo,NEWAYGO,50091,50402,50752,51124,51387,51622,1531,3.056437,235,0.457314
Oakland,OAKLAND,1272524,1273070,1272787,1274993,1282549,1288337,15813,1.242648,5788,0.451289
Oceana,OCEANA,26717,26867,26933,26976,26957,27177,460,1.721750,220,0.816115
Ogemaw,OGEMAW,20781,20785,20884,21033,21042,21121,340,1.636110,79,0.375440
Ontonagon,ONTONAGON,5799,5868,5889,5880,5866,5823,24,0.413864,-43,-0.733038
Osceola,OSCEOLA,22906,23203,23262,23326,23571,23516,610,2.663058,-55,-0.233338
Oscoda,OSCODA,8230,8314,8389,8564,8629,8723,493,5.990279,94,1.089350
Otsego,OTSEGO,25137,25342,25582,25811,26117,26080,943,3.751442,-37,-0.141670
Ottawa,OTTAWA,296893,298369,300837,303565,306190,308459,11566,3.895680,2269,0.741043
