county_name,county_norm,population_2020,population_2021,population_2022,population_2023,population_2024,population_2025,change_2020_2025,change_2020_2025_pct,change_2024_2025,change_2024_2025_pct
Presque Isle,PRESQUE ISLE,13001,13176,13351,13258,13220,13128,127,0.976848,-92,-0.695915
Roscommon,ROSCOMMON,23476,23674,23730,23940,23951,23914,438,1.865735,-37,-0.154482
Saginaw,SAGINAW,189853,189479,188392,187758,187762,187688,-2165,-1.140356,-74,-0.039412
St. Clair,ST. CLAIR,160386,160268,159886,160279,160304,160486,100,0.062350,182,0.113534
St. Joseph,ST. JOSEPH,60923,60849,60777,60953,61023,60968,45,0.073864,-55,-0.090130
Sanilac,SANILAC,40499,40536,40506,40389,40238,40083,-416,-1.027186,-155,-0.385208
Schoolcraft,SCHOOLCRAFT,8049,8037,8166,8149,8166,8187,138,1.714499,21,0.257164
Shiawassee,SHIAWASSEE,67990,67989,67955,67916,67828,67681,-309,-0.454479,-147,-0.216725
Tuscola,TUSCOLA,53324,53065,52933,52880,52823,52680,-644,-1.207711,-143,-0.270715
Van Buren,VAN BUREN,75574,75712,75681,75909,76100,76071,497,0.657634,-29,-0.038108
Washtenaw,WASHTENAW,371814,364941,367307,367845,368956,370214,-1600,-0.430323,1258,0.340962
Wayne,WAYNE,1789634,1775403,1761595,1758381,1765534,1769038,-20596,-1.150850,3504,0.198467
Wexford,WEXFORD,33684,33902,34038,34239,34347,34445,761,2.259233,98,0.285323
