county,county_norm,precinct_label,unmatched_rows,unmatched_vote_volume,years
Oakland,OAKLAND,Royal Oak City 19,6,9739,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Milan City 1W,6,9595,2008|2010|2012|2014|2016|2018
Genesee,GENESEE,Grand Blanc Township 10,6,9511,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Saline City 3,6,9505,2008|2010|2012|2014|2016|2018
Livingston,LIVINGSTON,Brighton Township 9,6,9472,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Scio Township 7,6,9390,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ypsilanti Township 17,6,9231,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Scio Township 8,6,9090,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 11 Ward 5,6,9051,2008|2010|2012|2014|2016|2018
Clinton,CLINTON,De Witt City 2,6,9018,2008|2010|2012|2014|2016|2018
Ottawa,OTTAWA,Blendon Township 3,6,8661,2008|2010|2012|2014|2016|2018
Emmet,EMMET,Bear Creek Township 3,6,8637,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 3 Ward 3,6,8584,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ypsilanti Township 19,6,8552,2008|2010|2012|2014|2016|2018
Calhoun,CALHOUN,Battle Creek City 8,6,8460,2008|2010|2012|2014|2016|2018
Berrien,BERRIEN,St. Joseph Township 1,6,8365,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Royal Oak City 22,6,8341,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ypsilanti Township 18,6,8229,2008|2010|2012|2014|2016|2018
Saginaw,SAGINAW,Bridgeport Township 4,6,8217,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 2 Ward 5,6,8173,2008|2010|2012|2014|2016|2018
Marquette,MARQUETTE,Marquette City 7,6,8137,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 10 Ward 5,6,8131,2008|2010|2012|2014|2016|2018
Isabella,ISABELLA,Mount Pleasant City 6,6,8087,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Royal Oak City 20,6,7985,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 4 Ward 5,6,7975,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Clinton Township 44,6,7955,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 6 Ward 4,6,7889,2008|2010|2012|2014|2016|2018
Livingston,LIVINGSTON,Howell City 3,6,7888,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 9 Ward 4,6,7878,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Chesterfield Township 13,6,7865,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 9 Ward 5,6,7757,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 7 Ward 4,6,7743,2008|2010|2012|2014|2016|2018
St. Clair,ST. CLAIR,St. Clair Township 1,6,7734,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 9 Ward 2,6,7730,2008|2010|2012|2014|2016|2018
Calhoun,CALHOUN,Battle Creek City 6,6,7620,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Trenton City 5,6,7599,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Redford Township 25,6,7562,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 4 Ward 4,6,7526,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 9 Ward 1,6,7477,2008|2010|2012|2014|2016|2018
Saginaw,SAGINAW,Frankenmuth City 2,6,7472,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor Township 2,6,7469,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Clinton Township 46,6,7423,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Royal Oak City 21,6,7363,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 7 Ward 2,6,7340,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,St. Clair Shores City 23,6,7311,2008|2010|2012|2014|2016|2018
