county,county_norm,precinct_label,unmatched_rows,unmatched_vote_volume,years
Kent,KENT,Plainfield Township 5,6,7302,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Harrison Township 7,6,7274,2008|2010|2012|2014|2016|2018
St. Clair,ST. CLAIR,St. Clair Township 2,6,7205,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 5 Ward 5,6,7198,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Redford Township 23,6,7188,2008|2010|2012|2014|2016|2018
Shiawassee,SHIAWASSEE,Owosso City 1 Ward 1,6,7162,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Lincoln Park City 16,6,7148,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Washington Township 9,6,7132,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 8 Ward 3,6,7067,2008|2010|2012|2014|2016|2018
Genesee,GENESEE,Grand Blanc Township 14,6,7051,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 10 Ward 1,6,7051,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Berkley City 6,6,7036,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Washington Township 8,6,7035,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Rochester Hills City 26 Ward 1,4,7023,2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 6 Ward 2,6,7013,2008|2010|2012|2014|2016|2018
Kent,KENT,Wyoming City 21 Ward 3,6,7004,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Lincoln Park City 18,6,6956,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 5 Ward 3,6,6944,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 9 Ward 3,6,6943,2008|2010|2012|2014|2016|2018
Saginaw,SAGINAW,Taymouth Township 2,6,6940,2008|2010|2012|2014|2016|2018
Berrien,BERRIEN,Royalton Township 2,6,6927,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ypsilanti Township 13,6,6896,2008|2010|2012|2014|2016|2018
Bay,BAY,Monitor Township 5,6,6889,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Chesterfield Township 11,6,6865,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ypsilanti Township 20,6,6852,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ypsilanti Township 14,6,6808,2008|2010|2012|2014|2016|2018
Genesee,GENESEE,Grand Blanc City 4,6,6799,2008|2010|2012|2014|2016|2018
Genesee,GENESEE,Linden City 2,6,6783,2008|2010|2012|2014|2016|2018
Genesee,GENESEE,Grand Blanc Township 15,6,6763,2008|2010|2012|2014|2016|2018
Kent,KENT,Grand Rapids Township 8,6,6735,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Sterling Heights City 45,6,6699,2008|2010|2012|2014|2016|2018
Genesee,GENESEE,Gaines Township 4,6,6637,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Chesterfield Township 14,6,6636,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 4 Ward 3,6,6617,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 5 Ward 2,6,6617,2008|2010|2012|2014|2016|2018
Kent,KENT,Grand Rapids Township 9,6,6597,2008|2010|2012|2014|2016|2018
Ingham,INGHAM,Mason City 3,6,6595,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Redford Township 24,6,6570,2008|2010|2012|2014|2016|2018
Isabella,ISABELLA,Mount Pleasant City 4,6,6534,2008|2010|2012|2014|2016|2018
Muskegon,MUSKEGON,Laketon Township 3,6,6459,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Bloomfield Township 30,6,6457,2008|2010|2012|2014|2016|2018
Muskegon,MUSKEGON,North Muskegon City 2,6,6444,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 7 Ward 3,6,6444,2008|2010|2012|2014|2016|2018
Allegan,ALLEGAN,Allegan City 2,6,6422,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Lincoln Park City 2,6,6410,2008|2010|2012|2014|2016|2018
Marquette,MARQUETTE,Marquette City 6,6,6398,2008|2010|2012|2014|2016|2018
Ottawa,OTTAWA,Park Township 7,6,6389,2008|2010|2012|2014|2016|2018
Midland,MIDLAND,Midland City 4 Ward 3,6,6380,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Rochester Hills City 17 Ward 1,4,6361,2012|2014|2016|2018
Wayne,WAYNE,Riverview City 4,6,6319,2008|2010|2012|2014|2016|2018
Newaygo,NEWAYGO,Brooks Township 2,6,6302,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Royal Oak City 23,6,6254,2008|2010|2012|2014|2016|2018
Genesee,GENESEE,Fenton City 4,6,6249,2008|2010|2012|2014|2016|2018
Marquette,MARQUETTE,Marquette City 5,6,6243,2008|2010|2012|2014|2016|2018
Genesee,GENESEE,Grand Blanc City 3,6,6231,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Trenton City 7,6,6218,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Warren City 58 Ward 4,4,6217,2012|2014|2016|2018
Calhoun,CALHOUN,Battle Creek City 10,6,6204,2008|2010|2012|2014|2016|2018
Marquette,MARQUETTE,Negaunee City 2,6,6201,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 6 Ward 5,6,6201,2008|2010|2012|2014|2016|2018
Calhoun,CALHOUN,Battle Creek City 5,6,6190,2008|2010|2012|2014|2016|2018
Calhoun,CALHOUN,Battle Creek City 3,6,6171,2008|2010|2012|2014|2016|2018
Livingston,LIVINGSTON,Deerfield Township 2,6,6171,2008|2010|2012|2014|2016|2018
Emmet,EMMET,Resort Township 14,4,6166,2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 8 Ward 1,6,6162,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Waterford Township 24,6,6161,2008|2010|2012|2014|2016|2018
Shiawassee,SHIAWASSEE,Owosso City 1 Ward 2,6,6154,2008|2010|2012|2014|2016|2018
Midland,MIDLAND,Midland City 3 Ward 4,6,6149,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Redford Township 22,6,6146,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Macomb Township 30,6,6144,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 4 Ward 2,6,6129,2008|2010|2012|2014|2016|2018
Kent,KENT,East Grand Rapids City 2 Ward 1,6,6122,2008|2010|2012|2014|2016|2018
Bay,BAY,Kawkawlin Township 2,6,6106,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Warren City 49 Ward 3,4,6105,2012|2014|2016|2018
Kent,KENT,Sparta Township 3,6,6088,2008|2010|2012|2014|2016|2018
Saginaw,SAGINAW,Birch Run Township 3,6,6067,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 8 Ward 4,6,6050,2008|2010|2012|2014|2016|2018
Allegan,ALLEGAN,Gunplain Township 2,6,6048,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Waterford Township 23,6,6046,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Harrison Township 9,6,6044,2008|2010|2012|2014|2016|2018
Calhoun,CALHOUN,Bedford Township 4,6,6014,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Lincoln Park City 14,6,5997,2008|2010|2012|2014|2016|2018
Shiawassee,SHIAWASSEE,Owosso City 3 Ward 2,6,5986,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 3 Ward 4,6,5980,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Rochester Hills City 14 Ward 1,4,5980,2012|2014|2016|2018
Macomb,MACOMB,Sterling Heights City 41,6,5974,2008|2010|2012|2014|2016|2018
Muskegon,MUSKEGON,Norton Shores City 10 Ward 2,4,5965,2012|2014|2016|2018
Oakland,OAKLAND,Waterford Township 22,6,5950,2008|2010|2012|2014|2016|2018
Genesee,GENESEE,Flushing City 5,6,5943,2008|2010|2012|2014|2016|2018
Dickinson,DICKINSON,Iron Mountain City 1,6,5939,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Waterford Township 25,6,5919,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Canton Township 38,6,5916,2008|2010|2012|2014|2016|2018
Ottawa,OTTAWA,Park Township 9,6,5914,2008|2010|2012|2014|2016|2018
Bay,BAY,Monitor Township 4,6,5911,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 8 Ward 2,6,5899,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Scio Township 6,6,5876,2008|2010|2012|2014|2016|2018
Isabella,ISABELLA,Union Township 3,6,5846,2008|2010|2012|2014|2016|2018
Calhoun,CALHOUN,Battle Creek City 20,6,5840,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 5 Ward 4,6,5840,2008|2010|2012|2014|2016|2018
Ottawa,OTTAWA,Coopersville City 2,6,5838,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Berkley City 5,6,5835,2008|2010|2012|2014|2016|2018
Berrien,BERRIEN,St. Joseph Township 2,6,5824,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Canton Township 37,6,5808,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Warren City 27 Ward 4,4,5802,2012|2014|2016|2018
Midland,MIDLAND,Midland City 1 Ward 3,6,5783,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Macomb Township 32,6,5779,2008|2010|2012|2014|2016|2018
Muskegon,MUSKEGON,Norton Shores City 7 Ward 2,4,5765,2012|2014|2016|2018
Wayne,WAYNE,Canton Township 35,6,5760,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Clinton Township 45,6,5731,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Rochester Hills City 6 Ward 1,4,5731,2012|2014|2016|2018
Dickinson,DICKINSON,Iron Mountain City 3,6,5720,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Scio Township 9,6,5720,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Warren City 47 Ward 1,4,5712,2012|2014|2016|2018
Macomb,MACOMB,Warren City 31 Ward 4,4,5707,2012|2014|2016|2018
Macomb,MACOMB,Warren City 51 Ward 3,4,5697,2012|2014|2016|2018
Midland,MIDLAND,Midland City 5 Ward 4,6,5690,2008|2010|2012|2014|2016|2018
Midland,MIDLAND,Midland City 2 Ward 2,6,5674,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Macomb Township 29,6,5662,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Redford Township 17,6,5662,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Bloomfield Township 22,6,5657,2008|2010|2012|2014|2016|2018
Dickinson,DICKINSON,Iron Mountain City 2,6,5642,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 6 Ward 3,6,5629,2008|2010|2012|2014|2016|2018
Genesee,GENESEE,Thetford Township 4,6,5627,2008|2010|2012|2014|2016|2018
Kent,KENT,Caledonia Township 5,4,5619,2012|2014|2016|2018
Muskegon,MUSKEGON,Dalton Township 4,6,5605,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Lincoln Park City 10,6,5599,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,York Township 3,6,5582,2008|2010|2012|2014|2016|2018
Midland,MIDLAND,Midland City 4 Ward 4,6,5581,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ypsilanti Township 12,6,5578,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Trenton City 6,6,5569,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Macomb Township 34,6,5559,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Lincoln Park City 12,6,5556,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Redford Township 18,6,5521,2008|2010|2012|2014|2016|2018
Ionia,IONIA,Portland City 2,6,5515,2008|2010|2012|2014|2016|2018
Jackson,JACKSON,Jackson City 3 Ward 6,6,5499,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,St. Clair Shores City 22,6,5462,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Sterling Heights City 44,6,5458,2008|2010|2012|2014|2016|2018
Midland,MIDLAND,Midland City 1 Ward 5,6,5454,2008|2010|2012|2014|2016|2018
Genesee,GENESEE,Fenton City 5,6,5452,2008|2010|2012|2014|2016|2018
Muskegon,MUSKEGON,Norton Shores City 5 Ward 1,4,5451,2012|2014|2016|2018
Branch,BRANCH,Quincy Township 2,6,5450,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Madison Heights City 11,6,5442,2008|2010|2012|2014|2016|2018
Ingham,INGHAM,Lansing City 11 Ward 2,6,5440,2008|2010|2012|2014|2016|2018
Midland,MIDLAND,Midland City 3 Ward 5,6,5439,2008|2010|2012|2014|2016|2018
Calhoun,CALHOUN,Leroy Township 2,6,5402,2008|2010|2012|2014|2016|2018
Barry,BARRY,Irving Township 2,6,5394,2008|2010|2012|2014|2016|2018
Eaton,EATON,Charlotte City 1 Ward 1,6,5394,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Pittsfield Township 10,6,5387,2008|2010|2012|2014|2016|2018
Eaton,EATON,Charlotte City 2 Ward 2,6,5375,2008|2010|2012|2014|2016|2018
Ingham,INGHAM,Williamston City 2,6,5374,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Grosse Ile Township 4,6,5361,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Warren City 33 Ward 4,4,5350,2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 5 Ward 1,6,5332,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Madison Heights City 10,6,5327,2008|2010|2012|2014|2016|2018
Jackson,JACKSON,Jackson City 1 Ward 6,6,5320,2008|2010|2012|2014|2016|2018
Saginaw,SAGINAW,Buena Vista Township 5,6,5291,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Warren City 38 Ward 1,4,5287,2012|2014|2016|2018
Berrien,BERRIEN,Coloma Township 2,6,5279,2008|2010|2012|2014|2016|2018
Muskegon,MUSKEGON,Norton Shores City 8 Ward 2,4,5278,2012|2014|2016|2018
Genesee,GENESEE,Grand Blanc Township 13,6,5277,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Waterford Township 27,6,5262,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Warren City 28 Ward 3,4,5248,2012|2014|2016|2018
Livingston,LIVINGSTON,Howell Township 3,6,5237,2008|2010|2012|2014|2016|2018
Midland,MIDLAND,Midland City 1 Ward 4,6,5237,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Lincoln Park City 8,6,5230,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Warren City 35 Ward 2,4,5190,2012|2014|2016|2018
Midland,MIDLAND,Midland City 1 Ward 2,6,5185,2008|2010|2012|2014|2016|2018
Genesee,GENESEE,Flint Township 14,6,5181,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Pontiac City 1 Ward 1,4,5176,2012|2014|2016|2018
Macomb,MACOMB,Sterling Heights City 24,6,5169,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ypsilanti City 3 Ward 3,6,5168,2008|2010|2012|2014|2016|2018
Ottawa,OTTAWA,Park Township 10,6,5145,2008|2010|2012|2014|2016|2018
Muskegon,MUSKEGON,Norton Shores City 9 Ward 2,4,5127,2012|2014|2016|2018
Macomb,MACOMB,Warren City 41 Ward 2,4,5122,2012|2014|2016|2018
Calhoun,CALHOUN,Battle Creek City 23,6,5104,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Warren City 14 Ward 3,4,5099,2012|2014|2016|2018
Genesee,GENESEE,Mount Morris Township 14,6,5098,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Huron Township 5,6,5098,2008|2010|2012|2014|2016|2018
Calhoun,CALHOUN,Battle Creek City 11,6,5097,2008|2010|2012|2014|2016|2018
Tuscola,TUSCOLA,Elkland Township 2,6,5096,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Warren City 50 Ward 4,4,5095,2012|2014|2016|2018
Macomb,MACOMB,Macomb Township 35,6,5082,2008|2010|2012|2014|2016|2018
Lapeer,LAPEER,Dryden Township 2,4,5072,2012|2014|2016|2018
Midland,MIDLAND,Midland City 5 Ward 5,6,5066,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Redford Township 20,6,5055,2008|2010|2012|2014|2016|2018
Kent,KENT,Grand Rapids City 50 Ward 2,4,5046,2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 2 Ward 3,6,5042,2008|2010|2012|2014|2016|2018
Sanilac,SANILAC,Worth Township 2,6,5039,2008|2010|2012|2014|2016|2018
Tuscola,TUSCOLA,Millington Township 2,6,5033,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 2 Ward 2,6,5032,2008|2010|2012|2014|2016|2018
Berrien,BERRIEN,St. Joseph Township 3,6,5012,2008|2010|2012|2014|2016|2018
Barry,BARRY,Barry Township 2,6,5009,2008|2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ypsilanti Township 15,6,5004,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Grosse Pointe Shores City 1,5,5002,2010|2012|2014|2016|2018
Washtenaw,WASHTENAW,Ann Arbor City 4 Ward 1,6,4995,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Sterling Heights City 16,6,4992,2008|2010|2012|2014|2016|2018
Genesee,GENESEE,Grand Blanc Township 3,6,4984,2008|2010|2012|2014|2016|2018
Emmet,EMMET,Petoskey City 3,6,4974,2008|2010|2012|2014|2016|2018
Midland,MIDLAND,Midland City 3 Ward 3,6,4954,2008|2010|2012|2014|2016|2018
Midland,MIDLAND,Midland City 4 Ward 5,6,4953,2008|2010|2012|2014|2016|2018
Muskegon,MUSKEGON,Muskegon Township 5,6,4948,2008|2010|2012|2014|2016|2018
Livingston,LIVINGSTON,Hamburg Township 8,6,4942,2008|2010|2012|2014|2016|2018
Eaton,EATON,Charlotte City 1 Ward 2,6,4939,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Woodhaven City 7,6,4938,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Warren City 22 Ward 5,4,4919,2012|2014|2016|2018
Livingston,LIVINGSTON,Brighton Township 8,6,4918,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Warren City 32 Ward 3,4,4917,2012|2014|2016|2018
Ingham,INGHAM,Vevay Township 2,6,4906,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Sumpter Township 6,6,4888,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Harrison Township 10,6,4886,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Warren City 20 Ward 2,4,4883,2012|2014|2016|2018
Macomb,MACOMB,Macomb Township 25,6,4877,2008|2010|2012|2014|2016|2018
Midland,MIDLAND,Midland City 2 Ward 3,6,4876,2008|2010|2012|2014|2016|2018
Calhoun,CALHOUN,Battle Creek City 21,6,4869,2008|2010|2012|2014|2016|2018
Shiawassee,SHIAWASSEE,Owosso City 2 Ward 2,6,4865,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Grosse Ile Township 5,6,4861,2008|2010|2012|2014|2016|2018
Kent,KENT,Grand Rapids City 24 Ward 1,6,4852,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Macomb Township 27,6,4851,2008|2010|2012|2014|2016|2018
Midland,MIDLAND,Midland City 2 Ward 5,6,4824,2008|2010|2012|2014|2016|2018
St. Clair,ST. CLAIR,Marine City 2,6,4819,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Lincoln Park City 6,6,4814,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Berkley City 7,4,4807,2012|2014|2016|2018
Oakland,OAKLAND,Bloomfield Township 19,6,4785,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Rochester Hills City 9 Ward 1,3,4785,2014|2016|2018
Berrien,BERRIEN,Hagar Township 2,6,4775,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Canton Township 36,6,4765,2008|2010|2012|2014|2016|2018
Genesee,GENESEE,Mundy Township 8,6,4763,2008|2010|2012|2014|2016|2018
Ottawa,OTTAWA,Holland City 2 Ward 1,6,4748,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Pleasant Ridge City 2,6,4743,2008|2010|2012|2014|2016|2018
Genesee,GENESEE,Flint Township 15,6,4738,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Utica City 3,6,4733,2008|2010|2012|2014|2016|2018
Genesee,GENESEE,Grand Blanc Township 11,6,4726,2008|2010|2012|2014|2016|2018
St. Clair,ST. CLAIR,East China Township 2,6,4725,2008|2010|2012|2014|2016|2018
Saginaw,SAGINAW,Bridgeport Township 5,6,4721,2008|2010|2012|2014|2016|2018
Muskegon,MUSKEGON,Roosevelt Park City 2,6,4703,2008|2010|2012|2014|2016|2018
Midland,MIDLAND,Midland City 2 Ward 4,6,4697,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Chesterfield Township 12,6,4691,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Warren City 3 Ward 5,4,4685,2012|2014|2016|2018
Kent,KENT,Wyoming City 22 Ward 3,6,4678,2008|2010|2012|2014|2016|2018
Wayne,WAYNE,Lincoln Park City 20,6,4677,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Harrison Township 8,6,4673,2008|2010|2012|2014|2016|2018
Genesee,GENESEE,Thetford Township 3,6,4665,2008|2010|2012|2014|2016|2018
Genesee,GENESEE,Flint Township 12,6,4658,2008|2010|2012|2014|2016|2018
Shiawassee,SHIAWASSEE,Owosso City 1 Ward 6,6,4653,2008|2010|2012|2014|2016|2018
Muskegon,MUSKEGON,Muskegon Township 6,6,4622,2008|2010|2012|2014|2016|2018
Livingston,LIVINGSTON,Genoa Township 10,6,4614,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Pontiac City 11 Ward 4,4,4610,2012|2014|2016|2018
Eaton,EATON,Delta Township 10,4,4609,2012|2014|2016|2018
Berrien,BERRIEN,Benton Harbor City 3,6,4597,2008|2010|2012|2014|2016|2018
Oakland,OAKLAND,Bloomfield Township 21,6,4594,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Utica City 2,6,4589,2008|2010|2012|2014|2016|2018
Jackson,JACKSON,Jackson City 3 Ward 4,6,4586,2008|2010|2012|2014|2016|2018
Macomb,MACOMB,Warren City 55 Ward 2,4,4584,2012|2014|2016|2018
Ingham,INGHAM,Lansing City 29 Ward 3,4,4583,2012|2014|2016|2018
Emmet,EMMET,Petoskey City 2,6,4548,2008|2010|2012|2014|2016|2018
Berrien,BERRIEN,Benton Harbor City 1,6,4532,2008|2010|2012|2014|2016|2018
Ingham,INGHAM,Lansing City 33 Ward 4,4,4519,2012|2014|2016|2018
Genesee,GENESEE,Flint Township 9,6,4518,2008|2010|2012|2014|2016|2018
